name,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
IMU24,1695914596665000000,9.751583099365234,0.45010989904403687,-0.24181437492370605,14.0625,0.8125,0.8125,-57.959999084472656,-12.720000267028809,-15.076923370361328
IMU24,1695914596763000000,9.897629737854004,0.4381389021873474,-0.37828385829925537,21.8125,1,1.0625,-58.08000183105469,-12.239999771118164,-14.538461685180664
IMU24,1695914596909000000,9.823409080505371,0.5865793824195862,-0.1412578970193863,30.5,1.5,2.0625,-58.040000915527344,-11,-13.84615421295166
IMU24,1695914596958000000,10.493785858154297,0.6488286256790161,-0.5554547905921936,38.1875,1.875,2.0625,-58.040000915527344,-9.920000076293945,-12.384614944458008
IMU24,1695914597104000000,10.010157585144043,0.5937620401382446,-0.35673603415489197,47.0625,2.1875,2.9375,-57.91999816894531,-8.039999961853027,-10.384614944458008
IMU24,1695914597201000000,9.765948295593262,0.5889735817909241,-0.395043283700943,54.5625,2,2.9375,-58.040000915527344,-5.960000038146973,-8.769230842590332
IMU24,1695914597299000000,9.169792175292969,0.5171475410461426,-0.3998316824436188,62.9375,1.875,4.4375,-57.880001068115234,-3.440000057220459,-7
IMU24,1695914597396000000,10.072406768798828,0.48123452067375183,-0.3926490843296051,71.4375,1.5,4.75,-57.84000015258789,-0.4399999976158142,-5.307692527770996
IMU24,1695914597494000000,9.794678688049316,0.8643068075180054,0.3495534360408783,79.4375,1.125,4.8125,-57.7599983215332,3.559999942779541,-3.461538553237915
IMU24,1695914597591000000,10.012551307678223,1.015141487121582,0.0933738648891449,81.1875,0.8125,4.9375,-57.119998931884766,7.800000190734863,-2.538461446762085
IMU24,1695914597689000000,10.17296314239502,0.8738836050033569,0.05506663769483566,81.3125,-0.625,5,-56.52000045776367,12.399999618530273,-1.615384578704834
IMU24,1695914597787000000,9.0859956741333,0.5602431893348694,0.48602294921875,81.25,-0.9375,5.125,-55.880001068115234,18.399999618530273,-3.153846263885498
IMU24,1695914597884000000,9.892841339111328,-0.15322890877723694,0.3423708379268646,78.4375,-1.625,4.6875,-55.2400016784668,22.799999237060547,-4.692307472229004
IMU24,1695914597981000000,9.157821655273438,-0.14844051003456116,0.7086836695671082,70.125,-1.8125,4.4375,-54.599998474121094,27.239999771118164,-7.384615421295166
IMU24,1695914598079000000,9.196128845214844,-0.08858545869588852,0.6392518281936646,61.6875,-2.625,3.4375,-53.720001220703125,30.719999313354492,-10.307692527770996
IMU24,1695914598176000000,9.126696586608887,-0.2825157940387726,0.5674257874488831,54.25,-2.5,2.75,-52.47999954223633,33.880001068115234,-12.076923370361328
IMU24,1695914598274000000,9.81383228302002,-0.2298433631658554,0.5961562395095825,45.9375,-2.5,2.5,-51,36.15999984741211,-13.230769157409668
IMU24,1695914598371000000,10.103530883789062,-0.4596867263317108,0.304063618183136,37.3125,-2.375,2.3125,-50.84000015258789,31.079999923706055,36.53845977783203
IMU24,1695914598469000000,9.742006301879883,-0.6033388376235962,0.49799394607543945,29.3125,-1.8125,1.6875,-98.4000015258789,53.720001220703125,-49.92307662963867
IMU24,1695914598566000000,9.888052940368652,-0.6799532771110535,0.36152446269989014,21.4375,-1.9375,1.6875,-1280.47998046875,-480.6400146484375,2306.769287109375
IMU24,1695914598664000000,9.758766174316406,-0.5817909836769104,0.49559974670410156,12.8125,-0.875,0.625,118.87999725341797,-43.2400016784668,-74.38461303710938
IMU24,1695914598810000000,9.897629737854004,-0.6655880808830261,0.5410895943641663,5.1875,-0.5,-0.25,-1310.719970703125,-395.6400146484375,2413.46142578125
IMU24,1695914598908000000,10.098742485046387,-0.5315127968788147,0.5003881454467773,-3.0625,-0.1875,0.125,-605.5999755859375,26.399999618530273,268.0769348144531
IMU24,1695914599005000000,10.072406768798828,-0.667982280254364,0.5626373887062073,-11.5625,0.5625,-0.4375,-16.520000457763672,30.84000015258789,-73.53845977783203
IMU24,1695914599103000000,10.113107681274414,-0.5506663918495178,0.545877993106842,-19.625,0.9375,-0.9375,-43.880001068115234,28.8799991607666,-66.38461303710938
